about	approximately
abstract	summary
accomplish	to achieve
accumulate	to build up
administer	to manage
admit	to confess
almost	nearly
animated	lively
annoy	to irritate, to bother
answer	to reply
anyway	besides
apparent	obvious
appear	to seem
applicable	relevant
appreciable	considerable
ardour	passion
arise	occur
aromatic	fragrant
arrive	to reach
artful	crafty
association	organization
assure	to guarantee
attractive	appealing
away	absent
awful	terrible
backbone	spine
backside	behind, bottom
bad (not good)	poor, naughty
ballot	poll
beat	defeat
becoming	fitting
to begin	to start
to behave	to act
believable	plausible
belly	stomach
bendy	flexible
beneficiant	generous
beneficial	favourable
bid	tender
bizarre	weird
blameless	innocent
bloodbath	massacre
bloodless	cold
branch	department
brave	courageous
brow	forehead
bum		backside, behind, bottom
business	commerce, trade
busy 	engaged
candy	sweet
categorize	to classify
charter	constitution
cheesy	corny, tacky
chiefly	mainly
choosy	picky
chop	cut
chorus	refrain
citation	quotation
cite	quote
class	lesson, course
clerk	receptionist
clever	intelligent
close	to shut
coiffure	hairstyle
collapse	to break down
collect	to gather
comfort	consolation
comic	comedian
commencement	graduation
complete	total
completely	totally
concord	harmony
condemn	to sentence
confederate	accomplice
confine	to restrict
conflict	clash
conform	to comply
confuse	to mix up
connect	 associate, to put through (telephone)
considerate	thoughtful
constancy	fidelity
constant	fixed
constitution	structure
construction (lit.)	interpretation
consult	to refer to
contemporary	modern
continuous	continual
contrary	opposite
convention	conference
convey	to communicate
cope	to manage
correct	right
couch	sofa
crook	criminal
crusade	campaign
cube	dice
curative	healing
curler	roller
cussed	stubborn
dash	sprint
daybreak	dawn
deceptive	misleading
decontrol	deregulate
dedicated	committed
deduce	to infer
defective	faulty
deliberate	planned
deliberately	intentionally
delicate	fragile
demostrate	to protest
denationalize	to privatize 
denims	jeans
denote	to indicate, to represent
deprave	to corrupt
depraved	wicked, evil
desert	to abandon
deserted	abandoned
destiny	fate
detached	indifferent
devil	satan
dicy	risky
differentiate	to distinguish
diminish	to decrease
disadvantaged	deprived
disagreeable	unpleasant
disappear	to vanish
disaster	catastrophe
disclaim	to deny
disclose	to reveal
discount	reduction
disgrace	shame
domesticate	cultivate
dossier	file
dubious	doubtful
dull (person)	stupid
eager	keen
earth	soil
ecocnomic	profitable
egocentric	selfish
elevate	to raise, to promote
emphasise	to stress
encounter	to come across
enormous	huge, immense
enquire	to investigate
equity	fairness
especially	particularly
essential	fundamental
establish	to set up
evaluate	to assess
everlasting	eternal
exactly	precisely
except	apart from
expire	to run out
explode	to blow up
extra	additional
fabricate	to manufacture
famous	famed, renowned
fanatic	enthusiast
fantastic	great, brilliant
float	to drift
fool	idiot
foolish	silly
forehead	brow
foretell	to predict
formerly	previously
fortunate	lucky
foxy	cunning
foyer	lobby
fragrance	perfume
French dressing	vinaigrette
function	to operate
garbage	rubbish
garbage can 	trashcan 
gay	homosexual
glitter	to sparkle
grab	to seize
grasping	greedy
gratis	free of charge
gratuity	tip
gravestone	headstone
grouse	to grumble
gut	intestine
hall	corridor
handsthout	to distribute
handsome	good-looking
hang-out	haunt
happily	fortunately
hard	tough
hashish	cannabis
hawk	to peddle
to hazard	to endanger
hearsay	rumour
hermetic	airtight
highbrow	intellectual
hint	trace, tip
hole	gap
home	domestic
homicide	murder
housebreaking	burglary
hunger	starvation
to hurry	to rush
hypothesis	speculation
idler	loafer
if	whether
to ignore	to disregard
illiberal	intolerant
to illuminate	to clarify; to light up
to illustrate	to demonstrate
to imagine	to suppose, to assume
to imitate	to mimic
immediate	instant
immobile	motionless
immoderate	excessive
immodest	conceited
to impact	to affect
impartial	neutral
impasse	deadlock
impassive	emotionless
to impeach	to question
impediment	obstacle
imperative	vital
impolite	rude
incidentally	by the way
inconsiderate	thoughtless
indisputable	indeniable
infamous	notorious
infantile	childish
to infect	to contaminate
inflexible	rigid
inflow	influx
informal	casual
infrequent	rare
inheritor	heir
innocent	harmless
insolvent	bancrupt
to inspect	to examine
instinct	intuition
instructions	directions
insufferable	unbearable
insufficient	inadequate
insupportable	intolerable
insurgent	rebel
intellectual	mental
to intend	to mean
to intensify	to heighten
interplay	interaction
inventory	stock
invoice	bill
to ivolve	to entail
isolated	loney
jealous	envious
joy	delight
knowingly	deliberately
lacking	missing
last	final
leading	main
to learn	to memorize
legitimate	valid, lega
lethal	deadly
liveable	habitable
livid	furious
loopy	crazy
lousy	awful
lucid	clear
mackintosh	waterproof coat
madness	insanity
magician	conjuror
magistrate	Justice of the Peace
magnify	to exaggerate
maintain	to preserve
manmade	artifical
mannequin	model
material	fabric
matters	things
maybe	perhaps, possibly
meantime	meanwhile
measure	degree
meeting	assembly
mendacity	lying
merciless	cruel
middleman	intermediary
midway	halfway
migrate	emigrate
mild	gentle
mimic	to imitate
mind	intellect
mindless	senseless
minimize	to play down
mirror	to reflect
misconceive	to misunderstand
miserable	depressing
misery	distress
misread	misinterpret
missing	lost
mistrust	distrust
moderately	reasonably
modern	contemporary
more and more	increasingly
moreover	in addition
movie	film
murderer	assassin
naked	bare
nameless	anonymous
napkin	serviette
narrate	to relate
narrative	a story
native	a local
near	to approach
necessary	essential
nightfall	dusk
nobility	the Aristocracy
nominate	to appoint
non-stop	continuous
noon	midday
noted	famous
notify	to inform
notwithstanding	however
nugatory	worthless
numerous	many
obdurate	stubborn
object	thing
obligatory	compulsory
oblique	indirect
omnipotent	all-powerful
obsolete	out of date
off-season	low season
operate	to function
organic	biological
ornament	decoration
outside	external
overhaul	to overtake
overlook	to miss
overseas	abroad
oversee	to supervise
painting	portray
paper money	notes
particular	specific
passable	satisfactory
pattern	sample
peaceable	peaceful
perception	insight
phantasm	illusion
pocket book	notebook
poisonous	toxic
possibility	opportunity
post-mortem	autopsy
practically	virtually
praise	compliment
precedence	priority
precept	principle
precis	summary
pressing	urgent
previous	preceding
priority	precedence
prompt	immediate
prosperous	affluent
provide	to supply
provided	if
putsthback	to postpone
quake	to tremble
quite	fairly
reasonable	fair
receive	to get
refrain	chorus
reliable	dependable
religious	devout
remainder	the rest
remark	comment
reminiscence	memory
remorse	regret
remoted	isolated
removable	detachable
renew	to resume
renounce	to give up
repute	reputation
respond	to reply
revolting	disgusting
rubbish	nonsense
rude	impolite
rue	to regret
sacristy	vestry
satisfied	convinced
scarcity	shortage
scrumptious	delicious
second	moment
select	to choose
selection	choice
self-assured	confident
signal	sign
significant	meaningful
silly	foolish
sincere	honest
skull	cranium
soiled	dirty
spotlight	highlight
stable	steady
steady	regular
stupid	silly
substantially	considerably
suggest	propose
sundown	sunset
sunrise	dawn
sure	certain
surroundings	environment
survive	to outlive
symbolize	to represent
tailored	tailor-made
temper	mood
terror	terrorism
testament	testimony
today	nowadays
torpid	lethargic
touchdown	landing
touchy	sensitive
transform	to convert
transitory	temporary
transparent	obvious
trustworthy	reliable
twister	tornado
twosome	pair
ultimate	final
uncared for	neglected
uncommon	unusual
uncooked	raw
undeniable	indisputable
understandable	comprehensible
unforeseen	unexpected
unfortunate	unlucky
unhurt	unharmed
uninjured	unhurt
unlawful	illegal
unmarried	single
unstated	unspoken
untimely	premature
untrue	unfaithful
unusual	strange
unvoiced	voiceless
uprising	rebellion
usually	generally,normally
vacancy	emptiness
vacuum	to hoover
vague	indistinct
vain	useless
valueless	worthless
vanquish	to conquer
vary	to differ
vast	huge
virtue	advantage
visualize	to imagine
warranty	guarantee
well mannered	polite
well timed	timely
winery	vineyard
withstand	to resist
zenith	peak
